Fri Mar 07 2014 08:14:41 GMT-0800 (Pacific Standard Time)  Updating convid 20140307161338675-adam1-adam2-0.4.3 to length 4
Fri Mar 07 2014 08:14:45 GMT-0800 (Pacific Standard Time)  Updating convid 20140307161338675-adam1-adam2-0.4.3 to length 5
Fri Mar 07 2014 09:13:49 GMT-0800 (Pacific Standard Time)  adam1 disconnected
Fri Mar 07 2014 09:13:49 GMT-0800 (Pacific Standard Time)  adam2 disconnected
Fri Mar 07 2014 09:13:54 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam2"}
Fri Mar 07 2014 09:13:54 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam2. Please continue your conversation.
Fri Mar 07 2014 09:13:54 GMT-0800 (Pacific Standard Time)  Updating convid 20140307161338675-adam1-adam2-0.4.3 to length 5
Fri Mar 07 2014 09:13:55 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam1"}
Fri Mar 07 2014 09:13:55 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam1. Please continue your conversation.
Fri Mar 07 2014 09:13:55 GMT-0800 (Pacific Standard Time)  Updating convid 20140307161338675-adam1-adam2-0.4.3 to length 5
Fri Mar 07 2014 09:15:52 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 09:15:54 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam2"}
Fri Mar 07 2014 09:15:54 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam2. Please continue your conversation.
Fri Mar 07 2014 09:15:54 GMT-0800 (Pacific Standard Time)  Updating convid 20140307161338675-adam1-adam2-0.4.3 to length 5
Fri Mar 07 2014 09:15:55 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam1"}
Fri Mar 07 2014 09:15:55 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam1. Please continue your conversation.
Fri Mar 07 2014 09:15:55 GMT-0800 (Pacific Standard Time)  Updating convid 20140307161338675-adam1-adam2-0.4.3 to length 5
Fri Mar 07 2014 09:15:57 GMT-0800 (Pacific Standard Time)  Someone disconnected before hello.
Fri Mar 07 2014 09:15:58 GMT-0800 (Pacific Standard Time)  hello adam2
Fri Mar 07 2014 09:15:58 GMT-0800 (Pacific Standard Time)  waiting adam2
